name,habitat,food,nesting,behaviour,conservation,length,MaxLength,wingspan,MaxWingspan,weight,AvgWeight,Clutch Size,MinClutch,MaxClutch,number of broods,MaxBrood,Egg Length,MaxEggL,Egg Width,MaxEggW,Incubation period,MaxIncubation,MinIncubation,nestling period,MinNestling,MaxNestling,order 2,family 2
Hairy Woodpecker,Forest,Insects,Cavity,Bark Forager,Least Concern,18-26,26, 33-41,41,40-95,67.5,3-6,3,6, 1 , 1 ,2.1-2.5,2.5,1.8-1.9,1.9,11-12,12,11,28-30,28,30, PICIFORMES, PICIDAE
Red-naped Sapsucker,Forest,Insects,Cavity,Bark Forager,Least Concern,19-21,21,,,32-66,49.0,3-7,3,7,,,,,,,,,,,,, PICIFORMES, PICIDAE
Downy Woodpecker,Forest,Insects,Cavity,Bark Forager,Least Concern,14-17,17, 25-30,30,21-28,24.5,3-8,3,8, 1 , 1 ,1.9-2,2,1.4-1.5,1.5,12,12,12,18-21,18,21, PICIFORMES, PICIDAE
Yellow-bellied Sapsucker,Forest,Insects,Cavity,Bark Forager,Least Concern,18-22,22, 34-40,40,43-55,49.0,4-6,4,6, 1 , 1 ,2-2.6,2.6,1.6-1.8,1.8,10-13,13,10,25-30,25,30, PICIFORMES, PICIDAE
Williamson's Sapsucker,Forest,Insects,Cavity,Bark Forager,Least Concern,21-25,25,,,44-55,49.5,,,,,,,,,,,,,,,, PICIFORMES, PICIDAE
Acorn Woodpecker,Open Woodland,Insects,Cavity,Bark Forager,Least Concern,19-23,23, 35-43,43,65-90,77.5,3-6,3,6, 1-2 ,2 ,2.3-2.7,2.7,1.8-2,2,11,11,11,30-32,30,32, PICIFORMES, PICIDAE
Golden-fronted Woodpecker,Open Woodland,Insects,Cavity,Bark Forager,Least Concern,22-26,26, 43, 43,65-102,83.5,4-7,4,7,,,,,,,,,,,,, PICIFORMES, PICIDAE
Red-breasted Sapsucker,Forest,Insects,Cavity,Bark Forager,Least Concern,20-22,22, 37-40,40,39-68,53.5,4-7,4,7,,,,,,,,,,,,, PICIFORMES, PICIDAE
Northern Flicker,Open Woodland,Insects,Cavity,Ground Forager,Least Concern,28-31,31, 42-51,51,110-160,135.0,5-8,5,8, 1 , 1 ,1.9-3.6,3.6,1.6-3.3,3.3,11-13,13,11,24-27,24,27, PICIFORMES, PICIDAE
Ivory-billed Woodpecker,Forest,Insects,Cavity,Bark Forager,Critically Endangered,46-51,51, 76-80,80,450-570,510.0,1-5,1,5,,,,,,,,,,,,, PICIFORMES, PICIDAE
Lewis's Woodpecker,Open Woodland,Insects,Cavity,Aerial Forager,Least Concern,26-28,28, 49-52,52,88-138,113.0,,,,,,,,,,,,,,,, PICIFORMES, PICIDAE
Red-headed Woodpecker,Open Woodland,Omnivore,Cavity,Flycatching,Near Threatened,19-23,23, 42, 42,56-91,73.5,3-10,3,10, 1-2 ,2 ,2.5,2.5,1.9,1.9,12-14,14,12,24-31,24,31, PICIFORMES, PICIDAE
Red-cockaded Woodpecker,Open Woodland,Insects,Cavity,Bark Forager,Vulnerable,20-23,23, 36, 36,42-52,47.0,2-5,2,5,,,,,,,,,,,,, PICIFORMES, PICIDAE
American Three-toed Woodpecker,Forest,Insects,Cavity,Bark Forager,Least Concern,20,20,,,65,65,3-7,3,7,,,,,,,,,,,,, PICIFORMES, PICIDAE
Pileated Woodpecker,Forest,Insects,Cavity,Bark Forager,Least Concern,40-49,49, 66-75,75,250-350,300.0,3-5,3,5, 1 , 1 ,3-3.5,3.5,2.4-2.6,2.6,15-18,18,15,24-28,24,28, PICIFORMES, PICIDAE
Nuttall's Woodpecker,Open Woodland,Insects,Cavity,Bark Forager,Least Concern,16-18,18,,,30-45,37.5,3-6,3,6,,,,,,,,,,,,, PICIFORMES, PICIDAE
Orchard Oriole,Open Woodland,Insects,Tree,Foliage Gleaner,Least Concern,15-18,18, 25, 25,16-28,22.0,4-6,4,6, 1-2 ,2 ,1.9-2.3,2.3,1.4-1.5,1.5,12-14,14,12,14,14,14, PASSERIFORMES, ICTERIDAE
Orange-crowned Warbler,Forest,Insects,Ground,Foliage Gleaner,Least Concern,11-14,14, 19, 19,7-11,9.0,3-6,3,6,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Ovenbird,Forest,Insects,Ground,Ground Forager,Least Concern,11-14,14, 19-26,26,16-28,22.0,3-6,3,6, 1-2 ,2 ,1.9-2.2,2.2,1.4-1.6,1.6,11-14,14,11,7-10,7,10, PASSERIFORMES, PARULIDAE
Oak Titmouse,Open Woodland,Insects,Cavity,Foliage Gleaner,Least Concern,,,,,10-21,15.5,3-9,3,9, 1-2 ,2 ,1.6-2,2,1.2-1.5,1.5,14-16,16,14,16-21,16,21, PASSERIFORMES, PARIDAE
